rank,score,PAS,PDP,NMSE,NMSE_dB,variant,source_file,source_index,config
37,0.1779536036,0.2819265723,0.1145006493,9.3184719086,9.6934470033,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,1,delay_taps=8; hybrid_power_latent_mse=775.7605590820312; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.25
38,0.1759793023,0.2824758887,0.1132008731,10.2939491272,10.1258201763,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,1,delay_taps=8; hybrid_power_latent_mse=775.7605590820312; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.25
39,0.1751803450,0.2795870304,0.1135624573,10.1603717804,10.0690959960,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,2,delay_taps=8; hybrid_power_latent_mse=780.638427734375; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.5
40,0.1751187110,0.2712450027,0.1166931614,9.0283575058,9.5560874798,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,6,delay_taps=16; hybrid_power_latent_mse=1150.898681640625; knn_power_latent_mse=1112.893310546875; phase_k=1; power_components=32
41,0.1738918439,0.2682411373,0.1166931763,9.0411090851,9.5622170923,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,7,delay_taps=16; hybrid_power_latent_mse=1150.898681640625; knn_power_latent_mse=1112.893310546875; phase_k=3; power_components=32
42,0.1725943152,0.2800378203,0.1126369461,11.8829383850,10.7492384524,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,2,delay_taps=8; hybrid_power_latent_mse=780.638427734375; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.5
43,0.1721864989,0.2820981443,0.1146028265,13.8081121445,11.4013430557,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,1,delay_taps=8; hybrid_power_latent_mse=1470.001708984375; knn_power_latent_mse=1388.4801025390625; phase_k=3; power_components=16
44,0.1712358860,0.2797785997,0.1156240404,14.2965660095,11.5523173381,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,5,delay_taps=16; hybrid_power_latent_mse=2003.705810546875; knn_power_latent_mse=1935.891845703125; phase_k=3; power_components=16
45,0.1703563163,0.2774496377,0.1146028191,13.7761411667,11.3912758443,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,0,delay_taps=8; hybrid_power_latent_mse=1470.001708984375; knn_power_latent_mse=1388.4801025390625; phase_k=1; power_components=16
46,0.1698117387,0.2761732638,0.1156240329,14.2755479813,11.5459278807,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,4,delay_taps=16; hybrid_power_latent_mse=2003.705810546875; knn_power_latent_mse=1935.891845703125; phase_k=1; power_components=16
47,0.1688447240,0.2736995220,0.1145128235,13.7494955063,11.3828676341,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_residual_weight.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=1.0
48,0.1688447240,0.2736995220,0.1145128235,13.7494955063,11.3828676341,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,2,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32
49,0.1685313745,0.2729920447,0.1145128235,13.7825918198,11.3933089444,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=3; power_components=32
50,0.1661735917,0.2741744220,0.1152346060,18.2123317719,12.6036555320,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=1.0
51,0.1643305105,0.2649447918,0.1130505949,14.2295598984,11.5319146813,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,6,delay_taps=16; hybrid_power_latent_mse=1150.898681640625; knn_power_latent_mse=1112.893310546875; phase_k=1; power_components=32
52,0.1637335448,0.2634934783,0.1130505949,14.2486495972,11.5377370643,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,7,delay_taps=16; hybrid_power_latent_mse=1150.898681640625; knn_power_latent_mse=1112.893310546875; phase_k=3; power_components=32
